dynamic_metric,module_dvars_feature,module_dvars_sensitivity_flag,n,pearson_p,pearson_q,pearson_r,spearman_p,spearman_rho
switching_rate,module_dvars_max_mean_abs,False,30,0.15918351827742588,0.3351231963735282,0.2636611776388838,0.058523885981675496,0.34925964509331164
thalamic_coupling,module_dvars_max_mean_abs,False,30,0.910641066305206,0.9461205883690452,0.02139719131237921,0.8969402818929877,0.02469410456062291
within_network_stability,module_dvars_max_mean_abs,False,30,0.3859615265179604,0.5783483676774406,0.1641836505134322,0.23115666528541245,0.2253615127919911
cross_network_communication,module_dvars_mean_delta_lsd_minus_placebo,False,30,0.6858318872184542,0.7838078711068048,0.07701724943336527,0.4507868543266534,0.14304783092324808
effective_barrier_proxy,module_dvars_mean_delta_lsd_minus_placebo,True,30,5.027584780751933e-05,0.0005069112442517597,-0.6705170981405493,2.912028557370226e-05,-0.6855045097486026
entropy_diversity,module_dvars_mean_delta_lsd_minus_placebo,False,30,0.09946155200637297,0.2743766951899944,0.30651969126316403,0.234004884066625,0.22402669632925473
hierarchical_compression,module_dvars_mean_delta_lsd_minus_placebo,False,30,0.5921327088378512,0.7193740356878732,-0.10188797040091921,0.7498675075562045,-0.060734149054505006
metastability_proxy,module_dvars_mean_delta_lsd_minus_placebo,False,30,0.4846120942104133,0.6770614306937061,-0.13267347526901152,0.2981490830329392,-0.196440489432703
switching_rate,module_dvars_mean_delta_lsd_minus_placebo,True,30,1.777211671453466e-05,0.00028435386743255454,0.6983481965605405,1.0079500461171271e-05,0.712329301663527
thalamic_coupling,module_dvars_mean_delta_lsd_minus_placebo,False,30,0.22850500793568496,0.37459660270710393,0.2266141739544064,0.1390661997369235,0.2765294771968854
within_network_stability,module_dvars_mean_delta_lsd_minus_placebo,False,30,0.8953332554025009,0.9424560583184219,-0.025081254258434712,0.7392432671635977,0.06340378197997774
cross_network_communication,module_dvars_mean_mean_abs,False,30,0.2106189738972361,0.36629386764736716,-0.23533156678892378,0.1743213906278876,-0.2547274749721913
effective_barrier_proxy,module_dvars_mean_mean_abs,False,30,0.29493207509523434,0.4633673507285075,0.19772719125478977,0.31629175147697663,0.18934253093023717
entropy_diversity,module_dvars_mean_mean_abs,False,30,0.940708335456504,0.9549189992461146,-0.01418174796219074,0.4255651913288613,-0.1510567296996663
hierarchical_compression,module_dvars_mean_mean_abs,False,30,0.9861199340011377,0.9861199340011378,0.003317187103786333,0.956267458829717,-0.010456062291434927
metastability_proxy,module_dvars_mean_mean_abs,False,30,0.05094412196396152,0.16302119028467688,0.3596311922568404,0.05087374850723391,0.35973303670745277
switching_rate,module_dvars_mean_mean_abs,False,30,0.3903851481822724,0.5783483676774406,-0.1626805535991322,0.31632228460774237,-0.1893308025059406
