dynamic_metric,image_motion_qc_feature,image_motion_qc_sensitivity_flag,n,pearson_p,pearson_q,pearson_r,spearman_p,spearman_rho
effective_barrier_proxy,global_signal_derivative_spike_fraction_delta_lsd_minus_placebo,False,30,0.1481491591452781,0.6464690580884863,-0.27056360354126463,0.22160491283519632,-0.22992040917509102
entropy_diversity,global_signal_derivative_spike_fraction_delta_lsd_minus_placebo,False,30,0.38610008782574945,0.8553601945678141,-0.16413641876120816,0.3911452470698038,-0.16242326852996727
hierarchical_compression,global_signal_derivative_spike_fraction_delta_lsd_minus_placebo,False,30,0.39954358538749324,0.8677049047035689,0.1595993688506359,0.9831733300504124,-0.004021483952598915
metastability_proxy,global_signal_derivative_spike_fraction_delta_lsd_minus_placebo,False,30,0.9142810588527723,0.9610425648407773,-0.020522329615696246,0.8210120886535583,-0.04311924460286614
switching_rate,global_signal_derivative_spike_fraction_delta_lsd_minus_placebo,False,30,0.2422262211231374,0.7473167190584926,0.2202337088282638,0.3185982442965293,0.18845852622231773
thalamic_coupling,global_signal_derivative_spike_fraction_delta_lsd_minus_placebo,False,30,0.23632231943849255,0.7473167190584926,0.2229486391081582,0.27961642134818365,0.20397860270682272
within_network_stability,global_signal_derivative_spike_fraction_delta_lsd_minus_placebo,False,30,0.37710107372523266,0.8553601945678141,0.1672245738963806,0.3658789238709664,0.17113648376059826
cross_network_communication,global_signal_derivative_spike_fraction_mean_abs,False,30,0.01845073619499301,0.1771270674719329,0.4275081907073106,0.003921465841279697,0.5108046442918834
effective_barrier_proxy,global_signal_derivative_spike_fraction_mean_abs,False,30,0.23901726934212547,0.7473167190584926,-0.22170381309853232,0.2451778306358123,-0.2188928901879473
entropy_diversity,global_signal_derivative_spike_fraction_mean_abs,False,30,0.5008400896488193,0.9073906686781444,0.12782913381634164,0.5390206983557632,0.11672988818532358
hierarchical_compression,global_signal_derivative_spike_fraction_mean_abs,False,30,0.04168901783583487,0.30016092841801106,0.37410408597601696,0.006214060291349572,0.4880824141489388
metastability_proxy,global_signal_derivative_spike_fraction_mean_abs,False,30,0.2149889496688767,0.7371049702932915,-0.23315662582982716,0.08392342475432112,-0.32078442554745407
switching_rate,global_signal_derivative_spike_fraction_mean_abs,False,30,0.2628362477943203,0.7767684306185851,0.21108595581995843,0.236365719913689,0.22292851705481162
thalamic_coupling,global_signal_derivative_spike_fraction_mean_abs,False,30,0.11831249840102137,0.5874827506809337,0.29131526488234044,0.08808980167756784,0.3167746202281109
within_network_stability,global_signal_derivative_spike_fraction_mean_abs,False,30,0.972571954877978,0.9862701514255552,-0.006555917282565417,0.8857156498150263,0.027400336348845034
cross_network_communication,image_dvars_max_delta_lsd_minus_placebo,False,30,0.9049903180763689,0.9610425648407773,0.02275618325258307,0.9674263421873238,-0.00778642936596218
effective_barrier_proxy,image_dvars_max_delta_lsd_minus_placebo,False,30,0.10400277705865499,0.5546814776461599,-0.30267159192064974,0.1030336524336436,-0.3034820354745517
entropy_diversity,image_dvars_max_delta_lsd_minus_placebo,False,30,0.1327589060811754,0.616686531473847,0.28084110383513383,0.21276377245573533,0.2342602892102336
hierarchical_compression,image_dvars_max_delta_lsd_minus_placebo,False,30,0.7053345824809152,0.9411454421443864,-0.0720065797682971,0.5356772351954263,-0.11768631813125695
metastability_proxy,image_dvars_max_delta_lsd_minus_placebo,False,30,0.294655322881828,0.8005729527355326,0.1978382974207651,0.3071634918780163,0.19288097886540603
switching_rate,image_dvars_max_delta_lsd_minus_placebo,False,30,0.09791071074238336,0.5435508178377385,0.30786413850194533,0.11886046536969681,0.29090120949736287
thalamic_coupling,image_dvars_max_delta_lsd_minus_placebo,False,30,0.7689035466841287,0.9411454421443864,0.05597856787771996,0.9730081752976698,-0.0064516129032258064
within_network_stability,image_dvars_max_delta_lsd_minus_placebo,False,30,0.8660018747494015,0.9610425648407773,-0.03216627361992493,0.9544083764218502,0.010901001112347052
